trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10343,974.587097,6.281575,160.365097,-0.383759,-0.036852,-0.016775,-0.031300,0.000000,-0.000000,0.307007,0.000000,-0.805364
10344,1037.733398,6.279950,160.364929,-0.383759,-0.257353,-0.036653,-0.022741,0.000000,-0.000000,0.307007,0.231221,-0.678447
10345,957.036560,6.279950,160.364929,-0.383759,-0.417557,-0.051096,-0.016522,0.000000,-0.000000,0.307007,0.462438,-0.551578
10346,1022.010193,6.279950,160.364929,-0.383759,-0.303373,-0.037123,-0.012004,0.000000,-0.000000,0.307007,0.693648,-0.424760
10347,972.695251,6.279950,160.364929,-0.383759,-0.220413,-0.026972,-0.008721,0.000000,-0.000000,0.307007,0.924847,-0.297995
10348,1017.562805,6.279950,160.364929,-0.383759,-0.160140,-0.019596,-0.006336,0.000000,-0.000000,0.307007,1.156032,-0.171287
10349,992.512451,6.279950,160.364929,-0.383759,-0.116348,-0.014237,-0.004604,0.000000,-0.000000,0.307007,1.387199,-0.044639
10350,984.157959,6.279950,160.364929,-0.383759,-0.084532,-0.010344,-0.003345,0.000000,-0.000000,0.307007,1.618345,0.081946
10351,1025.896118,6.279950,160.364929,-0.383759,-0.061416,-0.007515,-0.002430,0.000000,-0.000000,0.307007,1.849465,0.208463
10352,1034.062256,6.279950,160.364929,-0.383759,-0.044621,-0.005460,-0.001766,0.000000,-0.000000,0.307007,2.080558,0.334911
10353,964.669678,6.279680,160.367462,-0.377533,-0.067919,0.330606,0.821286,0.000000,-0.000000,0.307007,2.311618,0.461286
10354,1024.398071,6.279680,160.367462,-0.377533,-0.084846,0.574773,1.419268,0.000000,-0.000000,0.302026,2.542642,0.587583
10355,981.129761,6.279680,160.367462,-0.377533,-0.061644,0.417597,1.031159,0.000000,-0.000000,0.302026,2.773627,0.713801
10356,976.214600,6.279680,160.367462,-0.377533,-0.044787,0.303402,0.749181,0.000000,-0.000000,0.302026,3.004570,0.839936
10357,1000.153687,6.279680,160.367462,-0.377533,-0.032540,0.220434,0.544312,0.000000,-0.000000,0.302026,3.235466,0.965984
10358,1022.606140,6.279680,160.367462,-0.377533,-0.023642,0.160155,0.395465,0.000000,-0.000000,0.302026,3.466312,1.091943
10359,1016.972717,6.279680,160.367462,-0.377533,-0.017177,0.116359,0.287322,0.000000,-0.000000,0.302026,3.697104,1.217808
10360,1002.440430,6.279680,160.367462,-0.377533,-0.012480,0.084540,0.208752,0.000000,-0.000000,0.302026,3.927840,1.343577
