trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
9841,1055.533813,1.605609,-1.110682,-2.046326,-6.813205,-17.047781,-1.070450,0.000000,-0.000000,1.636401,-0.926318,0.000000
9844,486.752563,1.593734,-1.144391,-2.048462,-6.815199,-17.047241,-1.073183,0.000000,-0.000000,1.637061,-0.799816,0.326725
9845,1002.440430,1.587820,-1.164608,-2.049744,-6.623745,-17.103483,-1.078485,0.000000,-0.000000,1.638770,-0.672768,0.653444
9846,1000.438965,1.581856,-1.178100,-2.050598,-6.439789,-17.042673,-1.075832,0.000000,-0.000000,1.639795,-0.545178,0.980153
9847,999.583618,1.575939,-1.198316,-2.051849,-6.304241,-16.990503,-1.074244,0.000000,-0.000000,1.640479,-0.417045,1.306845
9848,996.743103,1.576035,-1.211764,-2.052704,-5.376262,-16.940020,-1.072554,0.000000,-0.000000,1.641479,-0.288373,1.633516
9849,984.987061,1.570117,-1.231980,-2.053986,-4.690855,-16.862814,-1.069604,0.000000,-0.000000,1.642163,-0.159163,1.960161
9850,1003.587708,1.564150,-1.245472,-2.054840,-5.024701,-16.825197,-1.068155,0.000000,-0.000000,1.643188,-0.029417,2.286773
9851,1014.325928,1.558230,-1.265687,-2.056122,-5.291409,-16.878857,-1.073089,0.000000,-0.000000,1.643872,0.100863,2.613347
9852,999.868591,1.558325,-1.279135,-2.057007,-4.652878,-16.905241,-1.076147,0.000000,-0.000000,1.644897,0.231676,2.939879
9852,1095.079346,1.552356,-1.292626,-2.057861,-4.261909,-16.140688,-1.028607,0.000000,-0.000000,1.645605,0.363019,3.266362
9853,1000.724365,1.552498,-1.312799,-2.059143,-3.971201,-16.506861,-1.053712,0.000000,-0.000000,1.646289,0.494891,3.592791
9854,948.496216,1.546528,-1.326288,-2.059998,-3.640733,-16.502424,-1.054647,0.000000,-0.000000,1.647314,0.627289,3.919162
9856,968.665833,1.546622,-1.339737,-2.060852,-3.407193,-15.520290,-0.992889,0.000000,-0.000000,1.647998,0.760212,4.245468
9856,1041.430786,1.546763,-1.359908,-2.062164,-2.443122,-15.929502,-1.021081,0.000000,-0.000000,1.648682,0.893657,4.571705
9858,958.343994,1.540791,-1.373399,-2.063019,-2.537989,-16.213329,-1.040302,0.000000,-0.000000,1.649731,1.027624,4.897866
9858,1085.589233,1.540885,-1.386847,-2.063873,-2.612761,-15.543330,-0.998235,0.000000,-0.000000,1.650415,1.162109,5.223947
9859,961.760071,1.540979,-1.400294,-2.064758,-1.872148,-15.057271,-0.968286,0.000000,-0.000000,1.651099,1.297111,5.549942
9860,1006.756287,1.541072,-1.413742,-2.065613,-1.335040,-14.559166,-0.937407,0.000000,-0.000000,1.651807,1.432628,5.875846
9861,999.583618,1.541166,-1.427189,-2.066467,-0.944299,-14.266803,-0.919667,0.000000,-0.000000,1.652490,1.568658,6.201653
9862,999.868591,1.541260,-1.440637,-2.067352,-0.660480,-14.041710,-0.906184,0.000000,-0.000000,1.653174,1.705198,6.527359
9863,999.868591,1.541354,-1.454084,-2.068207,-0.454257,-13.878679,-0.896649,0.000000,-0.000000,1.653882,1.842247,6.852957
9864,999.868591,1.541448,-1.467531,-2.069092,-0.304419,-13.760216,-0.889949,0.000000,-0.000000,1.654565,1.979803,7.178443
