trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
11451,1001.867737,1.872540,-1.865806,-0.161041,0.749772,0.007872,0.010161,0.000000,-0.000000,0.128833,-0.363019,-0.000000
11453,513.699341,1.872531,-1.864801,-0.154388,0.749769,0.007872,0.010161,0.000000,-0.000000,0.128833,-0.231676,0.236247
11454,1000.438965,1.872531,-1.864801,-0.154388,0.544739,0.005720,0.007382,0.000000,-0.000000,0.123511,-0.100863,0.472489
11455,967.863953,1.872531,-1.864801,-0.154388,0.395776,0.004155,0.005363,0.000000,-0.000000,0.123511,0.029417,0.708721
11456,1020.820435,1.872531,-1.864801,-0.154388,0.287548,0.003019,0.003897,0.000000,-0.000000,0.123511,0.159163,0.944937
11457,928.657410,1.872531,-1.864801,-0.154388,0.208916,0.002194,0.002831,0.000000,-0.000000,0.123511,0.288373,1.181134
11458,982.503906,1.872531,-1.864801,-0.154388,0.151786,0.001594,0.002057,0.000000,-0.000000,0.123511,0.417045,1.417305
11459,1000.438965,1.872531,-1.864801,-0.154388,0.110279,0.001158,0.001494,0.000000,-0.000000,0.123511,0.545178,1.653446
11460,1016.383362,1.872531,-1.864801,-0.154388,0.080123,0.000841,0.001086,0.000000,-0.000000,0.123511,0.672768,1.889552
11461,999.014221,1.872531,-1.864801,-0.154388,0.058212,0.000611,0.000789,0.000000,-0.000000,0.123511,0.799816,2.125617
11462,1024.098999,1.872531,-1.864801,-0.154388,0.042294,0.000444,0.000573,0.000000,-0.000000,0.123511,0.926318,2.361637
11463,1057.443115,1.872531,-1.864801,-0.154388,0.030728,0.000323,0.000416,0.000000,-0.000000,0.123511,1.052273,2.597606
11464,1010.526917,1.872531,-1.864801,-0.154388,0.022325,0.000234,0.000303,0.000000,-0.000000,0.123511,1.177679,2.833520
11465,919.166382,1.872531,-1.864801,-0.154388,0.016220,0.000170,0.000220,0.000000,-0.000000,0.123511,1.302534,3.069374
11466,999.583618,1.872531,-1.864801,-0.154388,0.011785,0.000124,0.000160,0.000000,-0.000000,0.123511,1.426838,3.305161
11467,1001.010010,1.872531,-1.864801,-0.154388,0.008562,0.000090,0.000116,0.000000,-0.000000,0.123511,1.550587,3.540879
11468,982.503906,1.872523,-1.863797,-0.147736,0.005080,0.134979,0.895120,0.000000,-0.000000,0.123511,1.673781,3.776520
11469,1002.726990,1.872523,-1.863797,-0.147736,0.002550,0.232981,1.545379,0.000000,-0.000000,0.118188,1.796417,4.012081
11470,1035.588745,1.872523,-1.863797,-0.147736,0.001852,0.169271,1.122784,0.000000,-0.000000,0.118188,1.918494,4.247556
11471,978.120178,1.872523,-1.863797,-0.147736,0.001346,0.122982,0.815750,0.000000,-0.000000,0.118188,2.040010,4.482941
11472,999.868591,1.872523,-1.863797,-0.147736,0.000978,0.089352,0.592677,0.000000,-0.000000,0.118188,2.160964,4.718230
11473,1003.013733,1.872523,-1.863797,-0.147736,0.000710,0.064918,0.430605,0.000000,-0.000000,0.118188,2.281354,4.953418
11474,999.298889,1.872514,-1.862793,-0.141052,-0.000645,0.184425,1.223183,0.000000,-0.000000,0.118188,2.401178,5.188500
11475,998.161377,1.872514,-1.862793,-0.141052,-0.001629,0.271241,1.799026,0.000000,-0.000000,0.112842,2.520435,5.423471
11476,1000.438965,1.872514,-1.862793,-0.141052,-0.001184,0.197068,1.307069,0.000000,-0.000000,0.112842,2.639122,5.658327
11477,1000.153687,1.872514,-1.862793,-0.141052,-0.000860,0.143179,0.949641,0.000000,-0.000000,0.112842,2.757240,5.893061
11478,984.434204,1.872506,-1.861788,-0.134399,-0.001769,0.239284,1.586737,0.000000,-0.000000,0.112842,2.874785,6.127670
11479,1000.724365,1.872506,-1.861788,-0.134399,-0.002429,0.309086,2.049618,0.000000,-0.000000,0.107520,2.991756,6.362148
11480,1114.211914,1.872506,-1.861788,-0.134399,-0.002429,0.309086,2.049618,0.000000,-0.000000,0.107520,3.108152,6.596490
11481,962.816101,1.872506,-1.861788,-0.134399,-0.001765,0.224564,1.489134,0.000000,-0.000000,0.107520,3.223972,6.830691
11482,952.617859,1.872506,-1.861788,-0.134399,-0.001282,0.163155,1.081919,0.000000,-0.000000,0.107520,3.339213,7.064746
11483,998.161377,1.872506,-1.861788,-0.134399,-0.000931,0.118539,0.786061,0.000000,-0.000000,0.107520,3.453875,7.298650
11484,1002.726990,1.872497,-1.860784,-0.127747,-0.001842,0.223921,1.484549,0.000000,-0.000000,0.107520,3.567955,7.532399
11485,998.445496,1.872497,-1.860784,-0.127747,-0.002504,0.300466,1.992033,0.000000,-0.000000,0.102197,3.681453,7.765986
11486,1001.010010,1.872497,-1.860784,-0.127747,-0.001819,0.218302,1.447297,0.000000,-0.000000,0.102197,3.794366,7.999408
11487,998.161377,1.872497,-1.860784,-0.127747,-0.001322,0.158605,1.051523,0.000000,-0.000000,0.102197,3.906694,8.232658
11488,985.817566,1.872497,-1.860784,-0.127747,-0.000960,0.115234,0.763976,0.000000,-0.000000,0.102197,4.018435,8.465733
