trial,M(1)orF(0),fx <- vx0  [N/(mm/s)] ,fx <- vy0,fy <- vx0,fy <- vy0,fx <- vx1,fx <- vy1,fy <- vx1,fy <- vy1,Visuomotor Rotation [deg],TargetAngle [deg],targetDistance [mm],targetForce [N],targetColor,errprCramp,ConnectionType
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
