trial,M(1)orF(0),fx <- vx0  [N/(mm/s)] ,fx <- vy0,fy <- vx0,fy <- vy0,fx <- vx1,fx <- vy1,fy <- vx1,fy <- vy1,Visuomotor Rotation [deg],TargetAngle [deg],targetDistance [mm],targetForce [N],targetColor,errprCramp,ConnectionType
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
41,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
63,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
67,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
69,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
71,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
73,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
81,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
87,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
89,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
91,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
